alpha_group,name,url,slug,doc_id,site,category,aliases,short_text_simple,long_text_complex,next_step,disclaimer,jargon_terms,short_avg_sentence_len,short_avg_word_len,short_word_count,short_sentence_count,long_avg_sentence_len,long_avg_word_len,long_word_count,long_sentence_count,short_readability_score,long_readability_score
A,Aangeboren afwijkingen van de luchtpijp,https://www.erfelijkheid.nl/ziektes/aangeboren-afwijkingen-van-de-luchtpijp,aangeboren-afwijkingen-van-de-luchtpijp,aangeboren-afwijkingen-van-de-luchtpijp,https://www.erfocentrum.nl/,Aanleg en ontwikkeling,aangeboren afwijkingen van de luchtpijp|aangeborenafwijkingenvandeluchtpijp,Bij Aangeboren afwijkingen van de luchtpijp spelen genen een rol. Deze pagina helpt je om snel te vinden: is het erfelijk en wat is een logische volgende stap.,Aangeboren afwijkingen van de luchtpijp wordt in de literatuur beschreven als een genetische aandoening met heterogene etiologie. Fenotype-expressie en penetrantie kunnen variëren; risico-inschatting hangt af van familieanamnese en genetische bevindingen. Differentiaaldiagnostiek en indicatiestelling voor DNA-diagnostiek verlopen doorgaans via zorgprofessionals. Bespreek vragen met de huisarts; zo nodig volgt verwijzing naar een klinisch geneticus.,Maak een afspraak bij de huisarts om je familiegeschiedenis te bespreken. Een klinisch geneticus kan uitleg geven over erfelijkheid.,Deze informatie is algemeen en is geen diagnose of persoonlijk medisch advies. Bespreek klachten of zorgen altijd met een arts.,penetrantie|fenotype|etiologie|differentiaaldiagnostiek|indicatiestelling,14.0,4.607142857142857,28,2,13.75,7.127272727272727,55,4,10.242857142857144,11.100909090909092
A,Aangeboren blindheid of slechtziendheid,https://www.erfelijkheid.nl/ziektes/aangeboren-blindheid-slechtziendheid,aangeboren-blindheid-slechtziendheid,aangeboren-blindheid-slechtziendheid,https://www.erfocentrum.nl/,Aanleg en ontwikkeling,aangeboren blindheid of slechtziendheid|aangeboren blindheid slechtziendheid|aangeborenblindheidofslechtziendheid,Bij Aangeboren blindheid of slechtziendheid spelen genen een rol. Deze pagina helpt je om snel te vinden: is het erfelijk en wat is een logische volgende stap.,"Aangeboren blindheid of slechtziendheid betreft een genetisch bepaalde aandoening waarbij varianten in een of meerdere genen kunnen leiden tot klinische verschijnselen. De overerving kan autosomaal dominant, autosomaal recessief of X-gebonden zijn, afhankelijk van het onderliggende mechanisme. Diagnostiek kan bestaan uit moleculair-genetisch onderzoek en/of chromosoomanalyse. Voor counseling en interpretatie van uitslagen kan verwijzing naar de klinische genetica passend zijn.",Bespreek je vraag met je huisarts. Vraag zo nodig om een verwijzing naar de klinische genetica.,Deze informatie is algemeen en is geen diagnose of persoonlijk medisch advies. Bespreek klachten of zorgen altijd met een arts.,autosomaal|recessief|dominant|x-gebonden|moleculair|chromosoomanalyse|counseling,13.5,4.814814814814815,27,2,15.25,6.80327868852459,61,4,10.025925925925925,11.871311475409836
A,Aangeboren staar,https://www.erfelijkheid.nl/ziektes/aangeboren-cataract,aangeboren-cataract,aangeboren-cataract,https://www.erfocentrum.nl/,Aanleg en ontwikkeling,aangeboren cataract|aangeboren staar|aangeborenstaar,Bij Aangeboren staar spelen genen een rol. Deze pagina helpt je om snel te vinden: is het erfelijk en wat is een logische volgende stap.,Aangeboren staar wordt in de literatuur beschreven als een genetische aandoening met heterogene etiologie. Fenotype-expressie en penetrantie kunnen variëren; risico-inschatting hangt af van familieanamnese en genetische bevindingen. Differentiaaldiagnostiek en indicatiestelling voor DNA-diagnostiek verlopen doorgaans via zorgprofessionals. Bespreek vragen met de huisarts; zo nodig volgt verwijzing naar een klinisch geneticus.,Bespreek je vraag met je huisarts. Vraag zo nodig om een verwijzing naar de klinische genetica.,Deze informatie is algemeen en is geen diagnose of persoonlijk medisch advies. Bespreek klachten of zorgen altijd met een arts.,penetrantie|fenotype|etiologie|differentiaaldiagnostiek|indicatiestelling,12.5,4.36,25,2,13.0,7.153846153846154,52,4,9.244,10.661538461538463
A,Aarskog syndroom,https://www.erfelijkheid.nl/ziektes/aarskog-syndroom,aarskog-syndroom,aarskog-syndroom,https://www.erfocentrum.nl/,Aanleg en ontwikkeling,aarskog syn|aarskog syndroom|aarskogsyndroom,"Aarskog syndroom is een erfelijke aandoening. Op deze pagina vind je wat het is, of het in families voorkomt en wat je kunt doen als je vragen hebt.",Aarskog syndroom wordt in de literatuur beschreven als een genetische aandoening met heterogene etiologie. Fenotype-expressie en penetrantie kunnen variëren; risico-inschatting hangt af van familieanamnese en genetische bevindingen. Differentiaaldiagnostiek en indicatiestelling voor DNA-diagnostiek verlopen doorgaans via zorgprofessionals. Bespreek vragen met de huisarts; zo nodig volgt verwijzing naar een klinisch geneticus.,Maak een afspraak bij de huisarts om je familiegeschiedenis te bespreken. Een klinisch geneticus kan uitleg geven over erfelijkheid.,Deze informatie is algemeen en is geen diagnose of persoonlijk medisch advies. Bespreek klachten of zorgen altijd met een arts.,penetrantie|fenotype|etiologie|differentiaaldiagnostiek|indicatiestelling,14.0,4.214285714285714,28,2,13.0,7.153846153846154,52,4,10.085714285714285,10.661538461538463
A,Achondroplasie,https://www.erfelijkheid.nl/ziektes/achondroplasie,achondroplasie,achondroplasie,https://www.erfocentrum.nl/,Aanleg en ontwikkeling,achondroplasie,Bij Achondroplasie spelen genen een rol. Deze pagina helpt je om snel te vinden: is het erfelijk en wat is een logische volgende stap.,"Achondroplasie betreft een genetisch bepaalde aandoening waarbij varianten in een of meerdere genen kunnen leiden tot klinische verschijnselen. De overerving kan autosomaal dominant, autosomaal recessief of X-gebonden zijn, afhankelijk van het onderliggende mechanisme. Diagnostiek kan bestaan uit moleculair-genetisch onderzoek en/of chromosoomanalyse. Voor counseling en interpretatie van uitslagen kan verwijzing naar de klinische genetica passend zijn.",Maak een afspraak bij de huisarts om je familiegeschiedenis te bespreken. Een klinisch geneticus kan uitleg geven over erfelijkheid.,Deze informatie is algemeen en is geen diagnose of persoonlijk medisch advies. Bespreek klachten of zorgen altijd met een arts.,autosomaal|recessief|dominant|x-gebonden|moleculair|chromosoomanalyse|counseling,12.0,4.5,24,2,14.5,6.775862068965517,58,4,9.0,11.410344827586206
A,Achromatopsie,https://www.erfelijkheid.nl/ziektes/achromatopsie,achromatopsie,achromatopsie,https://www.erfocentrum.nl/,Aanleg en ontwikkeling,achromatopsie,Achromatopsie is een zeldzame erfelijke aandoening. Hier lees je in eenvoudige woorden de belangrijkste punten en waar je terechtkunt voor hulp.,Achromatopsie wordt in de literatuur beschreven als een genetische aandoening met heterogene etiologie. Fenotype-expressie en penetrantie kunnen variëren; risico-inschatting hangt af van familieanamnese en genetische bevindingen. Differentiaaldiagnostiek en indicatiestelling voor DNA-diagnostiek verlopen doorgaans via zorgprofessionals. Bespreek vragen met de huisarts; zo nodig volgt verwijzing naar een klinisch geneticus.,Bespreek je vraag met je huisarts. Vraag zo nodig om een verwijzing naar de klinische genetica.,Deze informatie is algemeen en is geen diagnose of persoonlijk medisch advies. Bespreek klachten of zorgen altijd met een arts.,penetrantie|fenotype|etiologie|differentiaaldiagnostiek|indicatiestelling,10.5,5.809523809523809,21,2,12.75,7.254901960784314,51,4,8.623809523809523,10.551960784313724
A,Acromegalie,https://www.erfelijkheid.nl/ziektes/acromegalie,acromegalie,acromegalie,https://www.erfocentrum.nl/,Aanleg en ontwikkeling,acromegalie,"Acromegalie is een erfelijke aandoening. Op deze pagina vind je wat het is, of het in families voorkomt en wat je kunt doen als je vragen hebt.","Acromegalie betreft een genetisch bepaalde aandoening waarbij varianten in een of meerdere genen kunnen leiden tot klinische verschijnselen. De overerving kan autosomaal dominant, autosomaal recessief of X-gebonden zijn, afhankelijk van het onderliggende mechanisme. Diagnostiek kan bestaan uit moleculair-genetisch onderzoek en/of chromosoomanalyse. Voor counseling en interpretatie van uitslagen kan verwijzing naar de klinische genetica passend zijn.",Maak een afspraak bij de huisarts om je familiegeschiedenis te bespreken. Een klinisch geneticus kan uitleg geven over erfelijkheid.,Deze informatie is algemeen en is geen diagnose of persoonlijk medisch advies. Bespreek klachten of zorgen altijd met een arts.,autosomaal|recessief|dominant|x-gebonden|moleculair|chromosoomanalyse|counseling,13.5,4.222222222222222,27,2,14.5,6.724137931034483,58,4,9.788888888888888,11.389655172413793
A,Acute porfyrie,https://www.erfelijkheid.nl/ziektes/acute-porfyrie,acute-porfyrie,acute-porfyrie,https://www.erfocentrum.nl/,Aanleg en ontwikkeling,acute porfyrie|acuteporfyrie,"Acute porfyrie is een erfelijke aandoening. Op deze pagina vind je wat het is, of het in families voorkomt en wat je kunt doen als je vragen hebt.",Acute porfyrie wordt in de literatuur beschreven als een genetische aandoening met heterogene etiologie. Fenotype-expressie en penetrantie kunnen variëren; risico-inschatting hangt af van familieanamnese en genetische bevindingen. Differentiaaldiagnostiek en indicatiestelling voor DNA-diagnostiek verlopen doorgaans via zorgprofessionals. Bespreek vragen met de huisarts; zo nodig volgt verwijzing naar een klinisch geneticus.,Bespreek je vraag met je huisarts. Vraag zo nodig om een verwijzing naar de klinische genetica.,Deze informatie is algemeen en is geen diagnose of persoonlijk medisch advies. Bespreek klachten of zorgen altijd met een arts.,penetrantie|fenotype|etiologie|differentiaaldiagnostiek|indicatiestelling,14.0,4.142857142857143,28,2,13.0,7.115384615384615,52,4,10.057142857142857,10.646153846153846
A,Adenosine deaminase 2 deficiëntie (ADA2 deficiëntie),https://www.erfelijkheid.nl/ziektes/adenosine-deaminase-2-deficientie-ada2-deficientie,adenosine-deaminase-2-deficientie-ada2-deficientie,adenosine-deaminase-2-deficientie-ada2-deficientie,https://www.erfocentrum.nl/,Aanleg en ontwikkeling,adenosine deaminase 2 deficientie ada 2 deficientie|adenosine deaminase 2 deficientie ada2 deficientie|adenosine deaminase 2 deficiëntie ada2 deficiëntie|adenosinedeaminase2deficientieada2deficientie,"Adenosine deaminase 2 deficiëntie (ADA2 deficiëntie) is een erfelijke aandoening. Op deze pagina vind je wat het is, of het in families voorkomt en wat je kunt doen als je vragen hebt.",Adenosine deaminase 2 deficiëntie (ADA2 deficiëntie) wordt in de literatuur beschreven als een genetische aandoening met heterogene etiologie. Fenotype-expressie en penetrantie kunnen variëren; risico-inschatting hangt af van familieanamnese en genetische bevindingen. Differentiaaldiagnostiek en indicatiestelling voor DNA-diagnostiek verlopen doorgaans via zorgprofessionals. Bespreek vragen met de huisarts; zo nodig volgt verwijzing naar een klinisch geneticus.,Maak een afspraak bij de huisarts om je familiegeschiedenis te bespreken. Een klinisch geneticus kan uitleg geven over erfelijkheid.,Deze informatie is algemeen en is geen diagnose of persoonlijk medisch advies. Bespreek klachten of zorgen altijd met een arts.,penetrantie|fenotype|etiologie|differentiaaldiagnostiek|indicatiestelling,16.0,4.625,32,2,14.0,7.178571428571429,56,4,11.45,11.271428571428572
A,Adams-Oliver syndroom,https://www.erfelijkheid.nl/ziektes/adams-oliver-syndroom,adams-oliver-syndroom,adams-oliver-syndroom,https://www.erfocentrum.nl/,Aanleg en ontwikkeling,adams oliver syndroom|adams-oliver syn|adams-oliver syndroom|adams-oliversyndroom,"Adams-Oliver syndroom is een erfelijke aandoening. Op deze pagina vind je wat het is, of het in families voorkomt en wat je kunt doen als je vragen hebt.",Adams-Oliver syndroom wordt in de literatuur beschreven als een genetische aandoening met heterogene etiologie. Fenotype-expressie en penetrantie kunnen variëren; risico-inschatting hangt af van familieanamnese en genetische bevindingen. Differentiaaldiagnostiek en indicatiestelling voor DNA-diagnostiek verlopen doorgaans via zorgprofessionals. Bespreek vragen met de huisarts; zo nodig volgt verwijzing naar een klinisch geneticus.,Bespreek je vraag met je huisarts. Vraag zo nodig om een verwijzing naar de klinische genetica.,Deze informatie is algemeen en is geen diagnose of persoonlijk medisch advies. Bespreek klachten of zorgen altijd met een arts.,penetrantie|fenotype|etiologie|differentiaaldiagnostiek|indicatiestelling,14.5,4.206896551724138,29,2,13.25,7.09433962264151,53,4,10.382758620689655,10.787735849056602
A,ADCA,https://www.erfelijkheid.nl/ziektes/adca,adca,adca,https://www.erfocentrum.nl/,Aanleg en ontwikkeling,adca,"ADCA is een erfelijke aandoening. Op deze pagina vind je wat het is, of het in families voorkomt en wat je kunt doen als je vragen hebt.","ADCA betreft een genetisch bepaalde aandoening waarbij varianten in een of meerdere genen kunnen leiden tot klinische verschijnselen. De overerving kan autosomaal dominant, autosomaal recessief of X-gebonden zijn, afhankelijk van het onderliggende mechanisme. Diagnostiek kan bestaan uit moleculair-genetisch onderzoek en/of chromosoomanalyse. Voor counseling en interpretatie van uitslagen kan verwijzing naar de klinische genetica passend zijn.",Maak een afspraak bij de huisarts om je familiegeschiedenis te bespreken. Een klinisch geneticus kan uitleg geven over erfelijkheid.,Deze informatie is algemeen en is geen diagnose of persoonlijk medisch advies. Bespreek klachten of zorgen altijd met een arts.,autosomaal|recessief|dominant|x-gebonden|moleculair|chromosoomanalyse|counseling,13.5,3.962962962962963,27,2,14.5,6.603448275862069,58,4,9.685185185185185,11.341379310344827
A,ADHD,https://www.erfelijkheid.nl/ziektes/adhd,adhd,adhd,https://www.erfocentrum.nl/,Aanleg en ontwikkeling,adhd,Bij ADHD spelen genen een rol. Deze pagina helpt je om snel te vinden: is het erfelijk en wat is een logische volgende stap.,"ADHD betreft een genetisch bepaalde aandoening waarbij varianten in een of meerdere genen kunnen leiden tot klinische verschijnselen. De overerving kan autosomaal dominant, autosomaal recessief of X-gebonden zijn, afhankelijk van het onderliggende mechanisme. Diagnostiek kan bestaan uit moleculair-genetisch onderzoek en/of chromosoomanalyse. Voor counseling en interpretatie van uitslagen kan verwijzing naar de klinische genetica passend zijn.",Bespreek je vraag met je huisarts. Vraag zo nodig om een verwijzing naar de klinische genetica.,Deze informatie is algemeen en is geen diagnose of persoonlijk medisch advies. Bespreek klachten of zorgen altijd met een arts.,autosomaal|recessief|dominant|x-gebonden|moleculair|chromosoomanalyse|counseling,12.0,4.083333333333333,24,2,14.5,6.603448275862069,58,4,8.833333333333332,11.341379310344827
A,ADHD-I,https://www.erfelijkheid.nl/ziektes/adhd-i,adhd-i,adhd-i,https://www.erfocentrum.nl/,Aanleg en ontwikkeling,adhd i|adhd-i,Bij ADHD-I spelen genen een rol. Deze pagina helpt je om snel te vinden: is het erfelijk en wat is een logische volgende stap.,"ADHD-I betreft een genetisch bepaalde aandoening waarbij varianten in een of meerdere genen kunnen leiden tot klinische verschijnselen. De overerving kan autosomaal dominant, autosomaal recessief of X-gebonden zijn, afhankelijk van het onderliggende mechanisme. Diagnostiek kan bestaan uit moleculair-genetisch onderzoek en/of chromosoomanalyse. Voor counseling en interpretatie van uitslagen kan verwijzing naar de klinische genetica passend zijn.",Bespreek je vraag met je huisarts. Vraag zo nodig om een verwijzing naar de klinische genetica.,Deze informatie is algemeen en is geen diagnose of persoonlijk medisch advies. Bespreek klachten of zorgen altijd met een arts.,autosomaal|recessief|dominant|x-gebonden|moleculair|chromosoomanalyse|counseling,12.5,3.96,25,2,14.75,6.508474576271187,59,4,9.084,11.453389830508474
